GLADE no,PGC no,GWGC name,HyperLEDA name,2MASS name,WISExSCOS name,SDSS-DR16Q name,Object type flag,RA,DEC,B,B_err,B flag,B_Abs,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W1 flag,B_J,B_J err,z_helio,z_cmb,z flag,v_err,z_err,d_L,d_L err,dist flag,M*,M*_err,M* flag,Merger rate,Merger rate error
1,43495,NGC4736,NGC4736,12505314+4107125,J125053.14+410712.7,null,G,192.721451,41.120152,8.8,,0,-19.4135,6.084,0.015,5.418,0.015,5.169,0.015,5.611,,6.12,,0,,,0.00099057,0.001733,0,,2.87265E-05,4.392418,,3,,,1,,
2,41934,NGC4548,NGC4548,12352642+1429467,J123526.45+142946.9,null,G,188.860123,14.49632,10.85,,0,-20.1537,8.266,0.016,7.6,0.017,7.368,0.018,9.416,,9.306,,0,,,0.004119572,0.003573271,1,0.00073202,0.000119468,15.876007,3.263033,3,0.3,0.2,1,3.7,0.8
3,60921,NGC6503,NGC6503,17492651+7008396,J174926.45+700840.8,null,G,267.360474,70.144341,10.28,,0,-20.1953,8.3,0.016,7.615,0.016,7.382,0.017,10.18,,10.102,,0,,,0.00099981,0.002803049,1,0.000221942,2.89945E-05,12.4466,0.987781,3,,,1,,
4,40950,NGC4442,NGC4442,12280389+0948130,J122803.90+094813.3,null,G,187.01622,9.80362,11.29,,0,-19.0062,8.317,0.016,7.593,0.016,7.381,0.017,8.476,,8.504,,0,,,0.003556772,0.002581606,1,0.000558272,0.000103146,11.461371,2.484465,3,0.68,0.09,0,4.1,0.8
5,41164,NGC4469,NGC4469,null,J122928.05+084500.8,null,G,187.367,8.74989,12.4,,0,-18.5065,,,,,,,9.784,,9.706,,0,,,0.004138682,0.003417232,1,0.000745375,0.000120022,15.18092,3.321809,3,0.2,0.1,1,3.5,0.8
6,42241,NGC4586,NGC4586,12382843+0419087,J123828.39+041909,null,G,189.618484,4.319099,12.05,,0,-18.0978,9.597,0.021,8.904,0.024,8.634,0.037,10.055,,10.041,,0,,,0.003319892,0.002411407,1,0.000394757,9.62769E-05,10.704358,1.756102,3,0.08,0.04,,3,0.8
7,40927,NGC4440,NGC4440,12275357+1217354,J122753.56+121735.8,null,G,186.973221,12.293191,12.63,,0,-18.6497,9.901,0.014,9.225,0.018,9.005,0.021,9.872,,9.947,,0,,,0.004340282,0.004056052,1,0.000796636,0.000125868,18.02763,3.553836,3,0.46,0.06,0,3.9,0.8
8,40562,NGC4387,NGC4387,12254171+1248372,J122541.67+124838.1,null,G,186.423813,12.810359,12.82,,0,-18.2542,10.131,0.013,9.439,0.018,9.234,0.02,9.979,,10.034,,0,,,0.004176692,0.00369085,1,0.000774869,0.000121124,16.399878,3.454762,3,0.35,0.05,0,3.8,0.8
9,40809,NGC4424,NGC4424,null,J122711.57+092513.9,null,G,186.799,9.42031,12.02,,0,-16.9814,,,,,,,10.814,,10.638,,0,,,0.001342111,0.0014234,1,0.000221035,3.89212E-05,6.313776,0.98168,3,,,1,,
10,39206,NGC4207,NGC4207,12153043+0935057,J121530.38+093505.9,null,G,183.876816,9.58494,13.36,,0,-18.2926,10.562,0.02,9.816,0.023,9.528,0.034,10.294,,10.16,,0,,,0.004641842,0.004813303,1,0.000764328,0.000134613,21.40567,3.41354,3,0.3,0.1,1,3.6,0.8
